disease,overview ,causes,symptoms ,precautions ,home_treatment ,awareness ,who_guidelines
Abdominal Hernia,An abdominal hernia occurs when an organ or fatty tissue squeezes through a weak spot in the surrounding muscle or connective tissue (fascia) in the abdominal wall.,"A combination of muscle weakness and strain. Weakness can be congenital or develop over time. Strain can result from heavy lifting, chronic coughing, obesity, or straining during bowel movements.","A visible bulge or lump in the abdomen or groin, which may ache, burn, or disappear when lying down. Pain may occur when lifting, coughing, or straining.","Maintain a healthy weight, eat a high-fiber diet to avoid constipation, lift heavy objects correctly using your legs, and avoid smoking to prevent chronic coughing.","DISCLAIMER: These are supportive measures only and DO NOT cure a hernia, which often requires surgery. Consult a doctor. Gentle core-strengthening exercises (as advised by a doctor), avoiding abdominal strain, and consuming anti-inflammatory foods like ginger or turmeric may help with discomfort.","Hernias do not resolve on their own and can enlarge. A ""strangulated"" hernia, where the blood supply to the trapped tissue is cut off, is a life-threatening emergency requiring immediate surgery.","WHO includes hernia repair in its list of essential surgical procedures. Their focus is on improving access to safe, affordable, and timely surgery as part of strengthening health systems, especially in low- and middle-income countries."
Abdominal Injury,"Damage to the structures within the abdomen, such as the stomach, intestines, liver, or spleen. It can be blunt (from impact) or penetrating (from a wound).","Common causes include vehicle accidents, falls, physical assaults (blunt trauma), or stabbings and gunshot wounds (penetrating trauma).","Severe abdominal pain, tenderness, bruising, swelling, nausea, vomiting (sometimes with blood), and signs of shock (pale skin, rapid heart rate, low blood pressure).","Wearing seatbelts, using appropriate safety gear during sports, following workplace safety rules, and avoiding violent situations can help prevent abdominal injuries.","DISCLAIMER: Abdominal injury is a medical emergency. There are NO home treatments. Seek immediate medical attention. While waiting for help, have the person lie still and stay warm. Do not give them anything to eat or drink. Do not remove any penetrating objects.",Internal bleeding is a major risk and can be life-threatening even without visible external wounds. Any significant blow to the abdomen requires a medical evaluation.,WHO's guidelines on trauma care emphasize a systematic approach to assessment and management and the need for well-organized trauma care systems to reduce mortality and disability from injuries.
Abscess,"A painful, localized collection of pus, usually caused by a bacterial infection. An abscess can form on the skin surface or inside the body.","Bacteria (most commonly Staphylococcus) enter the body through a minor wound or blocked gland. The body's immune system responds, and the resulting battle creates pus.","A swollen, red, warm, and painful lump. Skin abscesses may come to a head and drain. Internal abscesses can cause fever, pain, and general unwellness.","Practice good hygiene, including regular handwashing. Clean any breaks in the skin thoroughly. Avoid sharing personal items like towels and razors.","DISCLAIMER: Do not squeeze or drain an abscess at home, as this can spread the infection. Consult a doctor. For a small skin abscess, applying a warm, moist compress for 20-30 minutes several times a day can encourage it to drain on its own.","An abscess is the body's attempt to wall off an infection. While small skin abscesses may resolve with warm compresses, larger ones and all internal abscesses require medical drainage by a doctor.","WHO provides guidelines on Infection Prevention and Control (IPC) and the rational use of antibiotics, which are key to preventing and treating the bacterial infections that cause abscesses."
Achalasia,A rare disorder that makes it difficult for food and liquid to pass from the esophagus into the stomach. It occurs when nerves in the esophagus are damaged.,"The exact cause is unknown, but it's thought to be an autoimmune condition where the body's immune system mistakenly attacks the nerve cells in the esophagus.","Difficulty swallowing (dysphagia), regurgitating undigested food, chest pain, heartburn, and gradual weight loss.",There are no known precautions to prevent achalasia as the cause is unknown. Management focuses on treating the symptoms.,"DISCLAIMER: Achalasia requires medical diagnosis and treatment. These tips may help manage symptoms but do not cure the condition. Consult a doctor. Eating slowly, chewing food thoroughly, drinking plenty of water with meals, and avoiding eating late at night can help.","Achalasia is a progressive disorder. While not life-threatening, it can severely impact quality of life and nutrition. It requires a specific diagnosis and medical procedures or surgery to manage.","WHO does not have specific guidelines for achalasia due to its rarity. It falls under the broad category of non-communicable digestive diseases, for which WHO supports strengthening diagnostic and treatment capacity within health systems."
Acinic Cell Carcinoma,"A rare type of salivary gland cancer. It most commonly occurs in the parotid gland, the largest salivary gland, located in front of the ears.",The exact cause is unknown. It is not linked to common cancer risk factors like smoking or alcohol. Prior radiation exposure to the head and neck area may be a risk factor.,"Usually presents as a slow-growing, often painless lump in the area of the parotid gland (in the cheek or below the earlobe). Facial pain or weakness can occur if the tumor affects nearby nerves.",There are no known specific precautions to prevent this cancer due to its unknown cause. Avoiding unnecessary radiation exposure to the head and neck is a general cancer prevention measure.,"DISCLAIMER: Cancer requires professional medical treatment. There are NO effective home treatments. Supportive care at home may include eating soft, moist foods if swallowing is difficult and maintaining good oral hygiene, as directed by the medical team.","This is a low-grade (slow-growing) cancer with a generally good prognosis after surgical removal. However, it can recur and sometimes spread to other parts of the body, so long-term follow-up is essential.","WHO's cancer control programs (e.g., through the International Agency for Research on Cancer, IARC) focus on research, surveillance, and prevention of common cancers. For rare cancers, the focus is on improving diagnosis and access to specialized treatment."
Acne,Acne is a common skin condition where hair follicles become clogged with oil and dead skin cells. It affects people of all ages but is most common in teenagers.,"Overproduction of oil (sebum), clogged pores, bacteria (Cutibacterium acnes), hormonal changes, certain medications, and lifestyle factors.","Whiteheads, blackheads, pimples, cysts, redness, and possible scarring.","bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products","coconut water 3-4 times a day. Have a plateful of watermelon (Clean face with cotton wool dipped in rose water 2-3 times a day. Do not use soap. Orange peel is very good in the treatment of acne. Grind the peel with some water to a paste and apply on affected parts. when oranges are not in season, you may use a powder of dried orange peels. For this, when oranges are in season, dry orange peels in shade. Powder finely in a grinder and sift it to make it a very fine powder. Store in an air tight bottle for future use. Mix 1 teaspoon lemon juice in 1 teaspoon finely ground cinnamon (dalchini) powder and apply on affected areas frequently. Sift the cinnamon (dalchini) powder to make it into a very fine powder. Crush a fegarlic (lasan) flakes and apply on the face, once or twice a day. Swallowing 1-2 flakes of ragarlic regularly helps further. Grind some neem leaves with water to a fine paste. Apply on infected area. Make a paste of ½ teaspoon each of sandalwood and turmeric (haldi) powder in a little water and apply.",Acne is not caused by poor hygiene; it is manageable with proper care. Severe or persistent acne should be evaluated by a dermatologist.,"WHO highlights skin health as part of general well-being and recommends early care, awareness programs, and reducing stigma related to skin conditions."
Actinic Keratosis,"A rough, scaly patch on the skin that develops from years of exposure to the sun. It is most commonly found on the face, lips, ears, scalp, neck, or back of the hands.",Caused by long-term exposure to ultraviolet (UV) radiation from the sun or tanning beds.,"A rough, dry, or scaly patch, typically less than 1 inch (2.5 cm) in diameter. It can be flat or slightly raised and may be pink, red, or brown. It can sometimes be itchy or tender.","Limit sun exposure, especially during peak hours (10 a.m. to 4 p.m.). Use broad-spectrum sunscreen with a high SPF, wear protective clothing, including wide-brimmed hats, and avoid tanning beds.",DISCLAIMER: Actinic keratosis must be evaluated by a doctor as it can progress to cancer. Home care is for prevention only. Regular skin self-exams to notice any new or changing spots.,"Actinic keratosis is considered a precancerous condition. If left untreated, a small percentage can develop into squamous cell carcinoma, a type of skin cancer. Early detection and treatment are important.",WHO promotes sun safety as a key public health message to prevent skin cancer. This includes education on the risks of excessive UV exposure and promoting protective measures like sunscreen and shade.
Acute Bronchospasm,"A sudden constriction of the muscles in the walls of the bronchioles (the small airways in the lungs), causing difficulty in breathing. It is a key feature of asthma and can occur in other respiratory conditions.","Common triggers include allergens (pollen, dust), irritants (smoke, chemical fumes), respiratory infections, cold air, and strenuous exercise. It is the primary event in an asthma attack.","Sudden onset of wheezing, shortness of breath, coughing, and chest tightness.","For individuals with asthma or other known respiratory conditions, the main precaution is to avoid known triggers and to use prescribed controller medications regularly.",DISCLAIMER: Acute bronchospasm can be a medical emergency. Use your prescribed rescue inhaler as directed. Seek immediate medical help if breathing does not improve. Inhaling steam from a bowl of hot water or a hot shower may help relax the airways while waiting for medical care.,This is a potentially life-threatening event as it can severely restrict airflow. People with conditions like asthma should always have a rescue inhaler available and an action plan for when to seek emergency care.,"WHO's strategy for chronic respiratory diseases, particularly asthma, focuses on ensuring access to essential medicines like rescue inhalers (short-acting beta-agonists) and promoting self-management education, including how to respond to acute attacks."
Acute Otitis Media,"An infection and inflammation of the middle ear, the air-filled space behind the eardrum. It is very common in young children.","It is usually caused by bacteria or viruses, often following a common cold, flu, or allergy that causes congestion and swelling of the nasal passages and eustachian tubes.","Ear pain (often severe), fever, fluid draining from the ear, a feeling of fullness in the ear, and muffled hearing. Young children may be irritable and pull at their ears.","Prevent common colds through frequent handwashing, keep vaccinations up to date (especially the pneumococcal vaccine), avoid exposure to secondhand smoke, and breastfeed infants.","DISCLAIMER: Ear infections should be diagnosed by a doctor, especially in children. These measures are for symptom relief only. Applying a warm, moist cloth over the affected ear. Using over-the-counter pain relievers like paracetamol or ibuprofen. Propping the child up to help with drainage.","While many ear infections resolve on their own, some require antibiotics. Recurrent or untreated infections can lead to hearing problems, a ruptured eardrum, or other complications.","WHO includes the management of acute otitis media in its guidelines for the integrated management of childhood illness (IMCI). The guidelines help primary health workers diagnose and treat common childhood conditions, including appropriate use of antibiotics."
Acute Pancreatitis,"Acute pancreatitis is a temporary, sudden inflammation of the pancreas, which is a small organ behind the stomach that produces digestive enzymes and hormones like insulin. This inflammation occurs when the digestive enzymes are prematurely activated inside the pancreas, causing them to attack and damage the organ itself. Most cases are mild and resolve completely, but severe cases can lead to serious, life-threatening complications involving organ failure (e.g., kidney, lung, heart).","The two most common causes are gallstones (which block the duct leading from the pancreas) and heavy alcohol consumption. Other causes include: high triglyceride levels, certain medications (e.g., some antibiotics, chemotherapy, diuretics), abdominal trauma, high calcium levels, infections (viral/bacterial), and genetic disorders.","Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","The primary preventive measures involve lifestyle changes, especially if the cause is identified: **Stop drinking alcohol** (even small amounts can worsen the condition). **Quit smoking**. Maintain a **low-fat diet** with plenty of fruits and vegetables to reduce the risk of gallstone formation and help the pancreas recover. Stay hydrated by drinking plenty of water. Manage underlying conditions like high triglycerides and high calcium levels.","Acute pancreatitis is a medical emergency and **requires immediate hospitalization** for diagnosis and treatment. Home treatment is not appropriate. Hospital treatment focuses on supportive care: intravenous (IV) fluids to prevent dehydration, strong pain-relief medication, and temporary rest for the pancreas (initially by not eating or drinking). Once the patient is able, a low-fat diet is usually started.","Acute pancreatitis is a serious condition that requires immediate medical attention; symptoms like sudden, severe abdominal pain can mimic other emergencies like a heart attack. Early diagnosis and supportive care are crucial for preventing severe complications, which can include organ failure, infection, and tissue death (necrosis) in the pancreas. Recurrence can be prevented by addressing the underlying cause (e.g., removing the gallbladder if gallstones are the cause).","While the WHO does not provide specific step-by-step home treatment guidelines for acute pancreatitis (as it requires hospital care), their general health frameworks emphasize the importance of addressing major risk factors like **harmful use of alcohol** and **unhealthy diets** as part of preventing non-communicable diseases. WHO also advocates for effective management of conditions like gallstones and prompt access to essential medical services for acute emergencies."
